Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	CD4 T-cellStep
ENSG00000155329	ZCCHC10	 FLJ20094,	"Zinc finger CCHC-type containing 10"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	54819	ZCCHC10	TopGeneInFirstStep
ENSG00000155368	DBI	 ACBD1, ACBP,	"Diazepam binding inhibitor, acyl-CoA binding protein"	"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1622	DBI	TopGeneInFirstStep
ENSG00000155508	CNOT8	 CAF1, CALIF, hCAF1, POP2,	"CCR4-NOT transcription complex subunit 8"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9337	CNOT8	TopGeneInFirstStep
ENSG00000155660	PDIA4	 ERP70, ERP72,	"Protein disulfide isomerase family A member 4"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9601	PDIA4	TopGeneInFirstStep
ENSG00000155893	PXYLP1	 ACPL2, FLJ23751,	"2-phosphoxylose phosphatase 1"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	92370	PXYLP1	TopGeneInFirstStep
ENSG00000155903	RASA2	 GAP1M,	"RAS p21 protein activator 2"	"Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5922	RASA2	TopGeneInFirstStep
ENSG00000155926	SLA	 hSLAP, SLA1, SLAP, SLAP-1,	"Src like adaptor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6503	SLA	TopGeneInFirstStep,TcellActVsNaive
ENSG00000156127	BATF	 B-ATF, BATF1, SFA-2,	"Basic leucine zipper ATF-like transcription factor"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10538	BATF	TopGeneInFirstStep,TF,TcellActVsNaive
ENSG00000156136	DCK	 ,	"Deoxycytidine kinase"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1633	DCK	TopGeneInFirstStep,FunctionGene
ENSG00000156171	DRAM2	 MGC54289, PRO180, RP5-1180E21.1, TMEM77, WWFQ154,	"DNA damage regulated autophagy modulator 2"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	128338	DRAM2	TopGeneInFirstStep
ENSG00000156256	USP16	 Ubp-M,	"Ubiquitin specific peptidase 16"	"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10600	USP16	TopGeneInFirstStep
ENSG00000156273	BACH1	 BACH-1, BTBD24,	"BTB domain and CNC homolog 1"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	571	BACH1	TF
ENSG00000156374	PCGF6	 MBLR, RNF134,	"Polycomb group ring finger 6"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	84108	PCGF6	TF
ENSG00000156515	HK1	 ,	"Hexokinase 1"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3098	HK1	TopGeneInFirstStep
ENSG00000156531	PHF6	 BFLS, BORJ, CENP-31, KIAA1823, MGC14797,	"PHD finger protein 6"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84295	PHF6	TcellActVsNaive
ENSG00000156587	UBE2L6	 UBCH8,	"Ubiquitin conjugating enzyme E2 L6"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9246	UBE2L6	TopGeneInFirstStep
ENSG00000156831	NSMCE2	 C8orf36, FLJ32440, MMS21, NSE2, ZMIZ7,	"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	286053	NSMCE2	TopGeneInFirstStep
ENSG00000156853	ZNF689	 FLJ90415, TIPUH1,	"Zinc finger protein 689"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	115509	ZNF689	TF
ENSG00000156873	PHKG2	 ,	"Phosphorylase kinase catalytic subunit gamma 2"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	5261	PHKG2	TopGeneInFirstStep
ENSG00000156976	EIF4A2	 BM-010, DDX2B, EIF4A, EIF4F,	"Eukaryotic translation initiation factor 4A2"	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1974	EIF4A2	TopGeneInFirstStep
ENSG00000157036	EXOG	 ENDOGL1, ENDOGL2, ENGL, ENGL-a, ENGL-b,	"Exo/endonuclease G"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9941	EXOG	TopGeneInFirstStep
ENSG00000157191	NECAP2	 FLJ10420,	"NECAP endocytosis associated 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55707	NECAP2	TopGeneInFirstStep
ENSG00000157303	SUSD3	 MGC26847,	"Sushi domain containing 3"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	203328	SUSD3	TopGeneInFirstStep
ENSG00000157349	DDX19B	 DBP5, DDX19,	"DEAD-box helicase 19B"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	11269	DDX19B	TopGeneInFirstStep
ENSG00000157429	ZNF19	 KOX12, MGC51021,	"Zinc finger protein 19"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7567	ZNF19	TF
ENSG00000157514	TSC22D3	 DIP, DSIPI, GILZ, hDIP, TSC-22R,	"TSC22 domain family member 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1831	TSC22D3	TopGeneInFirstStep
ENSG00000157557	ETS2	 ,	"ETS proto-oncogene 2, transcription factor"	"Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2114	ETS2	TF
ENSG00000157601	MX1	 IFI-78K, lncMX1-215, MxA,	"MX dynamin like GTPase 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4599	MX1	TopGeneInFirstStep
ENSG00000157873	TNFRSF14	 ATAR, CD270, HVEA, HVEM, LIGHTR, TR2,	"TNF receptor superfamily member 14"	"Cancer-related genes, CD markers, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8764	TNFRSF14	TopGeneInFirstStep,FunctionGene
ENSG00000157895	C12orf43	 Custos, FLJ12448,	"Chromosome 12 open reading frame 43"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	64897	C12orf43	TopGeneInFirstStep
ENSG00000157978	LDLRAP1	 ARH, ARH2, DKFZp586D0624, FHCB1, FHCB2, MGC34705,	"Low density lipoprotein receptor adaptor protein 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26119	LDLRAP1	TopGeneInFirstStep,CancerDExpr
ENSG00000158019	BABAM2	 BRCC4, BRCC45, BRE,	"BRISC and BRCA1 A complex member 2"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9577	BABAM2	TopGeneInFirstStep
ENSG00000158050	DUSP2	 PAC-1,	"Dual specificity phosphatase 2"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1844	DUSP2	TopGeneInFirstStep
ENSG00000158195	WASF2	 SCAR2, WAVE2,	"WASP family member 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10163	WASF2	TopGeneInFirstStep
ENSG00000158411	MITD1	 LOC129531,	"Microtubule interacting and trafficking domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	129531	MITD1	TopGeneInFirstStep
ENSG00000158552	ZFAND2B	 AIRAPL,	"Zinc finger AN1-type containing 2B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	130617	ZFAND2B	TopGeneInFirstStep
ENSG00000158691	ZSCAN12	 dJ29K1.2, KIAA0426, ZFP96, ZNF29K1, ZNF305, ZNF96,	"Zinc finger and SCAN domain containing 12"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	9753	ZSCAN12	TF
ENSG00000158710	TAGLN2	 HA1756, KIAA0120,	"Transgelin 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	8407	TAGLN2	TopGeneInFirstStep
ENSG00000158711	ELK4	 SAP1,	"ETS transcription factor ELK4"	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2005	ELK4	TF
ENSG00000158716	DUSP23	 DUSP25, FLJ20442,	"Dual specificity phosphatase 23"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54935	DUSP23	TopGeneInFirstStep
ENSG00000158796	DEDD	 CASP8IP1, DEDD1, DEFT, FLDED1, KE05,	"Death effector domain containing"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9191	DEDD	TopGeneInFirstStep
ENSG00000158869	FCER1G	 ,	"Fc fragment of IgE receptor Ig"	"FDA approved drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2207	FCER1G	FunctionGene
ENSG00000158985	CDC42SE2	 FLJ21967, SPEC2,	"CDC42 small effector 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	56990	CDC42SE2	TopGeneInFirstStep
ENSG00000159023	EPB41	 4.1R, EL1,	"Erythrocyte membrane protein band 4.1"	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	2035	EPB41	TopGeneInFirstStep
ENSG00000159063	ALG8	 MGC2840,	"ALG8 alpha-1,3-glucosyltransferase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	79053	ALG8	TopGeneInFirstStep
ENSG00000159110	IFNAR2	 IFNABR,	"Interferon alpha and beta receptor subunit 2"	"Cancer-related genes, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	3455	IFNAR2	TopGeneInFirstStep,FunctionGene
ENSG00000159128	IFNGR2	 AF-1, IFNGT1,	"Interferon gamma receptor 2"	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	3460	IFNGR2	TopGeneInFirstStep,FunctionGene
ENSG00000159176	CSRP1	 CSRP, CYRP, D1S181E,	"Cysteine and glycine rich protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1465	CSRP1	FunctionGene
ENSG00000159216	RUNX1	 AML1, AMLCR1, CBFA2, PEBP2A2,	"RUNX family transcription factor 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	861	RUNX1	TF
ENSG00000159228	CBR1	 CBR, SDR21C1,	"Carbonyl reductase 1"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	873	CBR1	TopGeneInFirstStep
ENSG00000159231	CBR3	 SDR21C2,	"Carbonyl reductase 3"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	874	CBR3	TopGeneInFirstStep
ENSG00000159399	HK2	 ,	"Hexokinase 2"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3099	HK2	TcellActVsNaive
ENSG00000159496	RGL4	 Rgr,	"Ral guanine nucleotide dissociation stimulator like 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	266747	RGL4	TopGeneInFirstStep
ENSG00000159579	RSPRY1	 KIAA1972,	"Ring finger and SPRY domain containing 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	89970	RSPRY1	TopGeneInFirstStep
ENSG00000159592	GPBP1L1	 SP192,	"GC-rich promoter binding protein 1 like 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	60313	GPBP1L1	TopGeneInFirstStep,TF
ENSG00000159882	ZNF230	 FDZF2,	"Zinc finger protein 230"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7773	ZNF230	TF
ENSG00000159884	CCDC107	 MGC31967,	"Coiled-coil domain containing 107"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	203260	CCDC107	TopGeneInFirstStep
ENSG00000159885	ZNF222	 ,	"Zinc finger protein 222"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7673	ZNF222	TF
ENSG00000159917	ZNF235	 ANF270, HZF6, ZFP93, ZNF270,	"Zinc finger protein 235"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	9310	ZNF235	TF
ENSG00000160050	CCDC28B	 MGC1203, RP4-622L5.5,	"Coiled-coil domain containing 28B"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	79140	CCDC28B	TopGeneInFirstStep
ENSG00000160087	UBE2J2	 NCUBE2, Ubc6p,	"Ubiquitin conjugating enzyme E2 J2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	118424	UBE2J2	TopGeneInFirstStep
ENSG00000160094	ZNF362	 FLJ25476, lin-29, RN,	"Zinc finger protein 362"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	149076	ZNF362	TF
ENSG00000160124	CCDC58	 FLJ33273,	"Coiled-coil domain containing 58"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	131076	CCDC58	TopGeneInFirstStep
ENSG00000160185	UBASH3A	 CLIP4, STS-2, TULA,	"Ubiquitin associated and SH3 domain containing A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	53347	UBASH3A	TopGeneInFirstStep
ENSG00000160193	WDR4	 TRM82, TRMT82,	"WD repeat domain 4"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10785	WDR4	TcellActVsNaive
ENSG00000160199	PKNOX1	 PREP1,	"PBX/knotted 1 homeobox 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	5316	PKNOX1	TF
ENSG00000160213	CSTB	 CST6, EPM1, PME, STFB,	"Cystatin B"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	1476	CSTB	TopGeneInFirstStep
ENSG00000160214	RRP1	 D21S2056E, NNP-1, Nop52, RRP1A,	"Ribosomal RNA processing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8568	RRP1	TcellActVsNaive
ENSG00000160229	ZNF66	 FLJ16537, ZNF66P,	"Zinc finger protein 66"	"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Evidence at transcript level"	"Evidence at transcript level"	7617	ZNF66	TF
ENSG00000160255	ITGB2	 CD18, LFA-1, MAC-1, MFI7,	"Integrin subunit beta 2"	"CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3689	ITGB2	TopGeneInFirstStep,FunctionGene
ENSG00000160310	PRMT2	 HRMT1L1, MGC111373,	"Protein arginine methyltransferase 2"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3275	PRMT2	TopGeneInFirstStep
ENSG00000160336	ZNF761	 FLJ16231, FLJ35333, KIAA2033,	"Zinc finger protein 761"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	388561	ZNF761	TF
ENSG00000160352	ZNF714	 ,	"Zinc finger protein 714"	"Predicted intracellular proteins"	"Evidence at transcript level"	"Evidence at transcript level"	148206	ZNF714	TF
ENSG00000160404	TOR2A	 FLJ14771, TORP1,	"Torsin family 2 member A"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	27433	TOR2A	FunctionGene
ENSG00000160410	SHKBP1	 PP203, Sb1,	"SH3KBP1 binding protein 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	92799	SHKBP1	TopGeneInFirstStep
